Categoría: Religión y creencias

Día,Religión: (Alemania)
2019-12-30,55
2019-12-31,63
2020-01-01,73
2020-01-02,62
2020-01-03,89
2020-01-04,70
2020-01-05,74
2020-01-06,82
2020-01-07,89
2020-01-08,91
2020-01-09,99
2020-01-10,79
2020-01-11,69
2020-01-12,93
2020-01-13,81
2020-01-14,90
2020-01-15,86
2020-01-16,73
2020-01-17,75
2020-01-18,72
2020-01-19,100
2020-01-20,77
2020-01-21,90
2020-01-22,78
2020-01-23,81
2020-01-24,67
2020-01-25,59
2020-01-26,65
2020-01-27,84
2020-01-28,77
2020-01-29,91
2020-01-30,77
2020-01-31,58
2020-02-01,59
2020-02-02,74
2020-02-03,71
2020-02-04,66
2020-02-05,65
2020-02-06,75
2020-02-07,75
2020-02-08,47
2020-02-09,57
2020-02-10,56
2020-02-11,70
2020-02-12,81
2020-02-13,73
2020-02-14,67
2020-02-15,63
2020-02-16,68
2020-02-17,72
2020-02-18,82
2020-02-19,66
2020-02-20,72
2020-02-21,66
2020-02-22,68
2020-02-23,69
2020-02-24,73
2020-02-25,70
2020-02-26,84
2020-02-27,80
2020-02-28,71
2020-02-29,64
2020-03-01,78
2020-03-02,70
2020-03-03,91
2020-03-04,90
2020-03-05,65
2020-03-06,80
2020-03-07,62
2020-03-08,86
2020-03-09,85
2020-03-10,65
2020-03-11,75
2020-03-12,67
2020-03-13,44
2020-03-14,59
2020-03-15,42
2020-03-16,44
2020-03-17,56
2020-03-18,68
2020-03-19,84
2020-03-20,75
2020-03-21,69
2020-03-22,66
2020-03-23,71
2020-03-24,74
2020-03-25,93
2020-03-26,79
2020-03-27,75
2020-03-28,69
2020-03-29,86
2020-03-30,72
2020-03-31,80
2020-04-01,73
2020-04-02,82
2020-04-03,72
2020-04-04,79
2020-04-05,74
2020-04-06,62
2020-04-07,64
