Categoría: Religión y creencias

Día,Religión: (Francia)
2018-12-30,81
2018-12-31,67
2019-01-01,88
2019-01-02,62
2019-01-03,53
2019-01-04,60
2019-01-05,88
2019-01-06,79
2019-01-07,64
2019-01-08,60
2019-01-09,73
2019-01-10,87
2019-01-11,60
2019-01-12,70
2019-01-13,82
2019-01-14,56
2019-01-15,65
2019-01-16,71
2019-01-17,74
2019-01-18,66
2019-01-19,79
2019-01-20,75
2019-01-21,59
2019-01-22,76
2019-01-23,71
2019-01-24,69
2019-01-25,59
2019-01-26,67
2019-01-27,66
2019-01-28,65
2019-01-29,64
2019-01-30,65
2019-01-31,64
2019-02-01,59
2019-02-02,72
2019-02-03,76
2019-02-04,67
2019-02-05,71
2019-02-06,68
2019-02-07,85
2019-02-08,67
2019-02-09,74
2019-02-10,90
2019-02-11,73
2019-02-12,55
2019-02-13,75
2019-02-14,68
2019-02-15,71
2019-02-16,73
2019-02-17,77
2019-02-18,69
2019-02-19,100
2019-02-20,80
2019-02-21,81
2019-02-22,74
2019-02-23,71
2019-02-24,89
2019-02-25,53
2019-02-26,74
2019-02-27,71
2019-02-28,68
2019-03-01,69
2019-03-02,70
2019-03-03,78
2019-03-04,71
2019-03-05,69
2019-03-06,71
2019-03-07,74
2019-03-08,59
2019-03-09,92
2019-03-10,79
2019-03-11,65
2019-03-12,64
2019-03-13,68
2019-03-14,60
2019-03-15,76
2019-03-16,79
2019-03-17,73
2019-03-18,76
2019-03-19,74
2019-03-20,52
2019-03-21,71
2019-03-22,84
2019-03-23,84
2019-03-24,96
2019-03-25,84
2019-03-26,48
2019-03-27,56
2019-03-28,71
2019-03-29,67
2019-03-30,64
2019-03-31,82
2019-04-01,69
2019-04-02,74
2019-04-03,74
2019-04-04,66
2019-04-05,63
2019-04-06,67
2019-04-07,82
2019-04-08,65
2019-04-09,59
2019-04-10,72
