Categoría: Religión y creencias

Día,Religión: (Bélgica)
2019-12-30,50
2019-12-31,43
2020-01-01,45
2020-01-02,35
2020-01-03,44
2020-01-04,59
2020-01-05,62
2020-01-06,56
2020-01-07,52
2020-01-08,50
2020-01-09,60
2020-01-10,47
2020-01-11,75
2020-01-12,59
2020-01-13,52
2020-01-14,49
2020-01-15,83
2020-01-16,74
2020-01-17,44
2020-01-18,72
2020-01-19,64
2020-01-20,59
2020-01-21,78
2020-01-22,43
2020-01-23,56
2020-01-24,51
2020-01-25,59
2020-01-26,48
2020-01-27,36
2020-01-28,51
2020-01-29,33
2020-01-30,58
2020-01-31,44
2020-02-01,62
2020-02-02,55
2020-02-03,100
2020-02-04,56
2020-02-05,0
2020-02-06,71
2020-02-07,70
2020-02-08,0
2020-02-09,56
2020-02-10,47
2020-02-11,56
2020-02-12,53
2020-02-13,59
2020-02-14,37
2020-02-15,0
2020-02-16,59
2020-02-17,74
2020-02-18,56
2020-02-19,65
2020-02-20,53
2020-02-21,43
2020-02-22,0
2020-02-23,49
2020-02-24,46
2020-02-25,36
2020-02-26,0
2020-02-27,0
2020-02-28,38
2020-02-29,0
2020-03-01,60
2020-03-02,50
2020-03-03,51
2020-03-04,37
2020-03-05,34
2020-03-06,45
2020-03-07,47
2020-03-08,0
2020-03-09,55
2020-03-10,42
2020-03-11,59
2020-03-12,0
2020-03-13,39
2020-03-14,0
2020-03-15,44
2020-03-16,40
2020-03-17,35
2020-03-18,0
2020-03-19,44
2020-03-20,75
2020-03-21,53
2020-03-22,44
2020-03-23,52
2020-03-24,64
2020-03-25,80
2020-03-26,43
2020-03-27,57
2020-03-28,88
2020-03-29,56
2020-03-30,73
2020-03-31,48
2020-04-01,43
2020-04-02,54
2020-04-03,0
2020-04-04,0
2020-04-05,51
2020-04-06,0
2020-04-07,49
