Categoría: Religión y creencias

Día,Religión: (España)
2019-12-30,64
2019-12-31,85
2020-01-01,85
2020-01-02,64
2020-01-03,55
2020-01-04,79
2020-01-05,76
2020-01-06,69
2020-01-07,61
2020-01-08,73
2020-01-09,75
2020-01-10,71
2020-01-11,78
2020-01-12,78
2020-01-13,93
2020-01-14,84
2020-01-15,89
2020-01-16,93
2020-01-17,76
2020-01-18,73
2020-01-19,69
2020-01-20,79
2020-01-21,77
2020-01-22,79
2020-01-23,72
2020-01-24,84
2020-01-25,59
2020-01-26,67
2020-01-27,85
2020-01-28,78
2020-01-29,75
2020-01-30,80
2020-01-31,80
2020-02-01,49
2020-02-02,76
2020-02-03,96
2020-02-04,78
2020-02-05,74
2020-02-06,82
2020-02-07,70
2020-02-08,76
2020-02-09,88
2020-02-10,87
2020-02-11,88
2020-02-12,89
2020-02-13,95
2020-02-14,86
2020-02-15,56
2020-02-16,81
2020-02-17,81
2020-02-18,81
2020-02-19,90
2020-02-20,85
2020-02-21,74
2020-02-22,67
2020-02-23,81
2020-02-24,74
2020-02-25,76
2020-02-26,89
2020-02-27,94
2020-02-28,78
2020-02-29,80
2020-03-01,83
2020-03-02,92
2020-03-03,100
2020-03-04,100
2020-03-05,94
2020-03-06,66
2020-03-07,52
2020-03-08,65
2020-03-09,83
2020-03-10,69
2020-03-11,68
2020-03-12,64
2020-03-13,58
2020-03-14,54
2020-03-15,63
2020-03-16,69
2020-03-17,73
2020-03-18,73
2020-03-19,84
2020-03-20,73
2020-03-21,87
2020-03-22,68
2020-03-23,81
2020-03-24,97
2020-03-25,87
2020-03-26,94
2020-03-27,92
2020-03-28,68
2020-03-29,77
2020-03-30,90
2020-03-31,86
2020-04-01,91
2020-04-02,93
2020-04-03,74
2020-04-04,74
2020-04-05,91
2020-04-06,83
2020-04-07,73
