Categoría: Religión y creencias

Semana,Religión: (Austria)
2018-12-30,70
2019-01-06,66
2019-01-13,85
2019-01-20,67
2019-01-27,79
2019-02-03,65
2019-02-10,77
2019-02-17,72
2019-02-24,89
2019-03-03,68
2019-03-10,83
2019-03-17,66
2019-03-24,83
2019-03-31,77
2019-04-07,75
2019-04-14,76
2019-04-21,100
2019-04-28,68
2019-05-05,86
2019-05-12,65
2019-05-19,71
2019-05-26,68
2019-06-02,69
2019-06-09,68
2019-06-16,49
2019-06-23,60
2019-06-30,47
2019-07-07,43
2019-07-14,50
2019-07-21,39
2019-07-28,44
2019-08-04,37
2019-08-11,40
2019-08-18,39
2019-08-25,47
2019-09-01,52
2019-09-08,58
2019-09-15,62
2019-09-22,65
2019-09-29,58
2019-10-06,74
2019-10-13,80
2019-10-20,76
2019-10-27,64
2019-11-03,75
2019-11-10,65
2019-11-17,62
2019-11-24,67
2019-12-01,64
2019-12-08,66
2019-12-15,75
2019-12-22,95
2019-12-29,69
2020-01-05,77
2020-01-12,68
2020-01-19,78
2020-01-26,59
2020-02-02,61
2020-02-09,61
2020-02-16,70
2020-02-23,80
2020-03-01,65
2020-03-08,61
2020-03-15,64
2020-03-22,90
2020-03-29,78
2020-04-05,71
