Categoría: Religión y creencias

Día,Religión: (Suiza)
2019-12-30,54
2019-12-31,83
2020-01-01,74
2020-01-02,68
2020-01-03,69
2020-01-04,78
2020-01-05,85
2020-01-06,58
2020-01-07,75
2020-01-08,76
2020-01-09,64
2020-01-10,66
2020-01-11,0
2020-01-12,74
2020-01-13,56
2020-01-14,49
2020-01-15,68
2020-01-16,88
2020-01-17,73
2020-01-18,50
2020-01-19,0
2020-01-20,54
2020-01-21,63
2020-01-22,61
2020-01-23,77
2020-01-24,94
2020-01-25,55
2020-01-26,53
2020-01-27,64
2020-01-28,51
2020-01-29,43
2020-01-30,74
2020-01-31,55
2020-02-01,0
2020-02-02,100
2020-02-03,54
2020-02-04,60
2020-02-05,0
2020-02-06,66
2020-02-07,0
2020-02-08,0
2020-02-09,63
2020-02-10,52
2020-02-11,51
2020-02-12,45
2020-02-13,61
2020-02-14,0
2020-02-15,0
2020-02-16,64
2020-02-17,52
2020-02-18,53
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,55
2020-02-23,81
2020-02-24,57
2020-02-25,44
2020-02-26,39
2020-02-27,49
2020-02-28,54
2020-02-29,57
2020-03-01,49
2020-03-02,0
2020-03-03,65
2020-03-04,58
2020-03-05,0
2020-03-06,52
2020-03-07,73
2020-03-08,89
2020-03-09,46
2020-03-10,43
2020-03-11,54
2020-03-12,44
2020-03-13,50
2020-03-14,55
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,43
2020-03-19,59
2020-03-20,42
2020-03-21,60
2020-03-22,56
2020-03-23,69
2020-03-24,65
2020-03-25,55
2020-03-26,60
2020-03-27,75
2020-03-28,0
2020-03-29,71
2020-03-30,54
2020-03-31,59
2020-04-01,52
2020-04-02,47
2020-04-03,59
2020-04-04,54
2020-04-05,50
2020-04-06,65
2020-04-07,85
