Categoría: Espiritualidad

Día,Geo: España
2019-12-30,60
2019-12-31,52
2020-01-01,68
2020-01-02,65
2020-01-03,59
2020-01-04,61
2020-01-05,66
2020-01-06,59
2020-01-07,64
2020-01-08,60
2020-01-09,64
2020-01-10,61
2020-01-11,72
2020-01-12,76
2020-01-13,63
2020-01-14,71
2020-01-15,70
2020-01-16,67
2020-01-17,67
2020-01-18,72
2020-01-19,70
2020-01-20,65
2020-01-21,72
2020-01-22,65
2020-01-23,68
2020-01-24,60
2020-01-25,63
2020-01-26,66
2020-01-27,62
2020-01-28,73
2020-01-29,67
2020-01-30,60
2020-01-31,63
2020-02-01,65
2020-02-02,74
2020-02-03,70
2020-02-04,69
2020-02-05,61
2020-02-06,61
2020-02-07,65
2020-02-08,64
2020-02-09,71
2020-02-10,64
2020-02-11,67
2020-02-12,65
2020-02-13,70
2020-02-14,65
2020-02-15,64
2020-02-16,75
2020-02-17,74
2020-02-18,73
2020-02-19,74
2020-02-20,66
2020-02-21,64
2020-02-22,58
2020-02-23,67
2020-02-24,71
2020-02-25,71
2020-02-26,66
2020-02-27,68
2020-02-28,64
2020-02-29,66
2020-03-01,72
2020-03-02,73
2020-03-03,71
2020-03-04,66
2020-03-05,69
2020-03-06,65
2020-03-07,64
2020-03-08,75
2020-03-09,67
2020-03-10,62
2020-03-11,59
2020-03-12,53
2020-03-13,52
2020-03-14,60
2020-03-15,64
2020-03-16,72
2020-03-17,68
2020-03-18,66
2020-03-19,66
2020-03-20,72
2020-03-21,78
2020-03-22,78
2020-03-23,79
2020-03-24,76
2020-03-25,81
2020-03-26,76
2020-03-27,76
2020-03-28,76
2020-03-29,84
2020-03-30,81
2020-03-31,87
2020-04-01,91
2020-04-02,82
2020-04-03,78
2020-04-04,100
2020-04-05,93
2020-04-06,91
2020-04-07,81
