Categoría: Espiritualidad

Día,Geo: Reino Unido
2019-12-30,81
2019-12-31,76
2020-01-01,88
2020-01-02,81
2020-01-03,75
2020-01-04,79
2020-01-05,91
2020-01-06,87
2020-01-07,88
2020-01-08,87
2020-01-09,90
2020-01-10,76
2020-01-11,78
2020-01-12,80
2020-01-13,82
2020-01-14,80
2020-01-15,86
2020-01-16,79
2020-01-17,83
2020-01-18,74
2020-01-19,82
2020-01-20,77
2020-01-21,89
2020-01-22,100
2020-01-23,88
2020-01-24,82
2020-01-25,76
2020-01-26,89
2020-01-27,86
2020-01-28,78
2020-01-29,94
2020-01-30,84
2020-01-31,88
2020-02-01,78
2020-02-02,87
2020-02-03,86
2020-02-04,86
2020-02-05,80
2020-02-06,73
2020-02-07,93
2020-02-08,79
2020-02-09,86
2020-02-10,83
2020-02-11,79
2020-02-12,82
2020-02-13,80
2020-02-14,75
2020-02-15,75
2020-02-16,79
2020-02-17,81
2020-02-18,75
2020-02-19,77
2020-02-20,75
2020-02-21,75
2020-02-22,77
2020-02-23,87
2020-02-24,83
2020-02-25,81
2020-02-26,72
2020-02-27,76
2020-02-28,77
2020-02-29,69
2020-03-01,79
2020-03-02,83
2020-03-03,79
2020-03-04,78
2020-03-05,78
2020-03-06,76
2020-03-07,77
2020-03-08,79
2020-03-09,76
2020-03-10,87
2020-03-11,72
2020-03-12,67
2020-03-13,70
2020-03-14,77
2020-03-15,82
2020-03-16,74
2020-03-17,71
2020-03-18,73
2020-03-19,70
2020-03-20,68
2020-03-21,79
2020-03-22,76
2020-03-23,73
2020-03-24,78
2020-03-25,80
2020-03-26,82
2020-03-27,85
2020-03-28,91
2020-03-29,87
2020-03-30,84
2020-03-31,86
2020-04-01,91
2020-04-02,86
2020-04-03,83
2020-04-04,89
2020-04-05,86
2020-04-06,90
2020-04-07,81
