Categoría: Espiritualidad

Día,Geo: Alemania
2019-12-30,100
2019-12-31,67
2020-01-01,84
2020-01-02,77
2020-01-03,73
2020-01-04,87
2020-01-05,88
2020-01-06,76
2020-01-07,74
2020-01-08,75
2020-01-09,80
2020-01-10,72
2020-01-11,76
2020-01-12,89
2020-01-13,74
2020-01-14,78
2020-01-15,73
2020-01-16,82
2020-01-17,83
2020-01-18,81
2020-01-19,88
2020-01-20,80
2020-01-21,73
2020-01-22,79
2020-01-23,87
2020-01-24,74
2020-01-25,81
2020-01-26,87
2020-01-27,74
2020-01-28,74
2020-01-29,79
2020-01-30,75
2020-01-31,75
2020-02-01,80
2020-02-02,85
2020-02-03,75
2020-02-04,76
2020-02-05,72
2020-02-06,79
2020-02-07,80
2020-02-08,73
2020-02-09,92
2020-02-10,73
2020-02-11,76
2020-02-12,75
2020-02-13,75
2020-02-14,69
2020-02-15,68
2020-02-16,79
2020-02-17,79
2020-02-18,77
2020-02-19,77
2020-02-20,74
2020-02-21,73
2020-02-22,78
2020-02-23,87
2020-02-24,78
2020-02-25,78
2020-02-26,70
2020-02-27,69
2020-02-28,76
2020-02-29,71
2020-03-01,86
2020-03-02,64
2020-03-03,71
2020-03-04,73
2020-03-05,71
2020-03-06,71
2020-03-07,73
2020-03-08,82
2020-03-09,72
2020-03-10,75
2020-03-11,67
2020-03-12,65
2020-03-13,64
2020-03-14,67
2020-03-15,78
2020-03-16,60
2020-03-17,68
2020-03-18,58
2020-03-19,98
2020-03-20,91
2020-03-21,80
2020-03-22,82
2020-03-23,82
2020-03-24,83
2020-03-25,71
2020-03-26,77
2020-03-27,79
2020-03-28,85
2020-03-29,87
2020-03-30,74
2020-03-31,71
2020-04-01,72
2020-04-02,63
2020-04-03,76
2020-04-04,78
2020-04-05,93
2020-04-06,73
2020-04-07,68
