Categoría: Espiritualidad

Día,Geo: Portugal
2019-12-30,73
2019-12-31,58
2020-01-01,68
2020-01-02,67
2020-01-03,61
2020-01-04,76
2020-01-05,77
2020-01-06,69
2020-01-07,61
2020-01-08,61
2020-01-09,62
2020-01-10,58
2020-01-11,71
2020-01-12,63
2020-01-13,64
2020-01-14,69
2020-01-15,66
2020-01-16,72
2020-01-17,56
2020-01-18,65
2020-01-19,64
2020-01-20,63
2020-01-21,64
2020-01-22,60
2020-01-23,65
2020-01-24,54
2020-01-25,64
2020-01-26,65
2020-01-27,66
2020-01-28,65
2020-01-29,75
2020-01-30,69
2020-01-31,65
2020-02-01,68
2020-02-02,67
2020-02-03,61
2020-02-04,69
2020-02-05,69
2020-02-06,54
2020-02-07,69
2020-02-08,66
2020-02-09,70
2020-02-10,64
2020-02-11,65
2020-02-12,67
2020-02-13,69
2020-02-14,61
2020-02-15,58
2020-02-16,72
2020-02-17,79
2020-02-18,75
2020-02-19,73
2020-02-20,72
2020-02-21,67
2020-02-22,61
2020-02-23,69
2020-02-24,51
2020-02-25,52
2020-02-26,59
2020-02-27,57
2020-02-28,69
2020-02-29,70
2020-03-01,72
2020-03-02,61
2020-03-03,62
2020-03-04,68
2020-03-05,69
2020-03-06,64
2020-03-07,59
2020-03-08,100
2020-03-09,70
2020-03-10,61
2020-03-11,52
2020-03-12,50
2020-03-13,65
2020-03-14,79
2020-03-15,70
2020-03-16,63
2020-03-17,66
2020-03-18,65
2020-03-19,70
2020-03-20,82
2020-03-21,87
2020-03-22,76
2020-03-23,79
2020-03-24,76
2020-03-25,81
2020-03-26,80
2020-03-27,72
2020-03-28,82
2020-03-29,79
2020-03-30,81
2020-03-31,70
2020-04-01,75
2020-04-02,75
2020-04-03,69
2020-04-04,83
2020-04-05,91
2020-04-06,86
2020-04-07,73
