Categoría: Estudios religiosos y teología

Día,Geo: Suiza
2019-12-30,0
2019-12-31,0
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,67
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,54
2020-01-09,70
2020-01-10,81
2020-01-11,66
2020-01-12,76
2020-01-13,69
2020-01-14,58
2020-01-15,74
2020-01-16,61
2020-01-17,0
2020-01-18,64
2020-01-19,97
2020-01-20,78
2020-01-21,68
2020-01-22,90
2020-01-23,62
2020-01-24,0
2020-01-25,0
2020-01-26,81
2020-01-27,0
2020-01-28,95
2020-01-29,55
2020-01-30,0
2020-01-31,97
2020-02-01,0
2020-02-02,0
2020-02-03,49
2020-02-04,65
2020-02-05,66
2020-02-06,81
2020-02-07,47
2020-02-08,0
2020-02-09,62
2020-02-10,0
2020-02-11,80
2020-02-12,0
2020-02-13,81
2020-02-14,46
2020-02-15,0
2020-02-16,0
2020-02-17,46
2020-02-18,57
2020-02-19,0
2020-02-20,66
2020-02-21,67
2020-02-22,61
2020-02-23,62
2020-02-24,72
2020-02-25,69
2020-02-26,48
2020-02-27,57
2020-02-28,67
2020-02-29,0
2020-03-01,67
2020-03-02,66
2020-03-03,0
2020-03-04,0
2020-03-05,55
2020-03-06,74
2020-03-07,73
2020-03-08,82
2020-03-09,80
2020-03-10,69
2020-03-11,0
2020-03-12,90
2020-03-13,0
2020-03-14,61
2020-03-15,63
2020-03-16,54
2020-03-17,60
2020-03-18,0
2020-03-19,0
2020-03-20,68
2020-03-21,84
2020-03-22,72
2020-03-23,73
2020-03-24,72
2020-03-25,59
2020-03-26,80
2020-03-27,67
2020-03-28,74
2020-03-29,100
2020-03-30,62
2020-03-31,42
2020-04-01,66
2020-04-02,68
2020-04-03,59
2020-04-04,0
2020-04-05,72
2020-04-06,77
2020-04-07,50
