Categoría: Estudios religiosos y teología

Día,Geo: Francia
2019-12-30,45
2019-12-31,85
2020-01-01,73
2020-01-02,44
2020-01-03,69
2020-01-04,83
2020-01-05,59
2020-01-06,91
2020-01-07,86
2020-01-08,69
2020-01-09,100
2020-01-10,62
2020-01-11,71
2020-01-12,61
2020-01-13,98
2020-01-14,75
2020-01-15,59
2020-01-16,76
2020-01-17,50
2020-01-18,74
2020-01-19,67
2020-01-20,71
2020-01-21,77
2020-01-22,80
2020-01-23,72
2020-01-24,76
2020-01-25,94
2020-01-26,81
2020-01-27,76
2020-01-28,69
2020-01-29,55
2020-01-30,60
2020-01-31,83
2020-02-01,81
2020-02-02,66
2020-02-03,84
2020-02-04,57
2020-02-05,71
2020-02-06,71
2020-02-07,44
2020-02-08,61
2020-02-09,57
2020-02-10,62
2020-02-11,74
2020-02-12,94
2020-02-13,75
2020-02-14,71
2020-02-15,56
2020-02-16,86
2020-02-17,64
2020-02-18,76
2020-02-19,68
2020-02-20,62
2020-02-21,84
2020-02-22,58
2020-02-23,77
2020-02-24,68
2020-02-25,80
2020-02-26,58
2020-02-27,85
2020-02-28,85
2020-02-29,95
2020-03-01,56
2020-03-02,74
2020-03-03,74
2020-03-04,81
2020-03-05,81
2020-03-06,70
2020-03-07,69
2020-03-08,92
2020-03-09,53
2020-03-10,63
2020-03-11,58
2020-03-12,57
2020-03-13,56
2020-03-14,79
2020-03-15,61
2020-03-16,75
2020-03-17,58
2020-03-18,62
2020-03-19,35
2020-03-20,49
2020-03-21,69
2020-03-22,75
2020-03-23,81
2020-03-24,81
2020-03-25,43
2020-03-26,63
2020-03-27,73
2020-03-28,82
2020-03-29,87
2020-03-30,78
2020-03-31,75
2020-04-01,70
2020-04-02,96
2020-04-03,78
2020-04-04,41
2020-04-05,62
2020-04-06,87
2020-04-07,49
