Categoría: Cientología

Día,Geo: Países Bajos
2019-12-30,62
2019-12-31,70
2020-01-01,84
2020-01-02,78
2020-01-03,69
2020-01-04,79
2020-01-05,72
2020-01-06,73
2020-01-07,78
2020-01-08,80
2020-01-09,77
2020-01-10,86
2020-01-11,66
2020-01-12,72
2020-01-13,95
2020-01-14,82
2020-01-15,78
2020-01-16,48
2020-01-17,83
2020-01-18,64
2020-01-19,72
2020-01-20,91
2020-01-21,79
2020-01-22,87
2020-01-23,88
2020-01-24,96
2020-01-25,62
2020-01-26,62
2020-01-27,60
2020-01-28,74
2020-01-29,93
2020-01-30,67
2020-01-31,60
2020-02-01,75
2020-02-02,59
2020-02-03,76
2020-02-04,71
2020-02-05,87
2020-02-06,71
2020-02-07,82
2020-02-08,80
2020-02-09,81
2020-02-10,70
2020-02-11,75
2020-02-12,67
2020-02-13,64
2020-02-14,68
2020-02-15,69
2020-02-16,90
2020-02-17,56
2020-02-18,72
2020-02-19,73
2020-02-20,66
2020-02-21,59
2020-02-22,67
2020-02-23,69
2020-02-24,55
2020-02-25,66
2020-02-26,77
2020-02-27,72
2020-02-28,69
2020-02-29,68
2020-03-01,80
2020-03-02,79
2020-03-03,72
2020-03-04,79
2020-03-05,76
2020-03-06,93
2020-03-07,67
2020-03-08,85
2020-03-09,78
2020-03-10,70
2020-03-11,73
2020-03-12,66
2020-03-13,56
2020-03-14,80
2020-03-15,94
2020-03-16,85
2020-03-17,69
2020-03-18,67
2020-03-19,62
2020-03-20,54
2020-03-21,62
2020-03-22,92
2020-03-23,75
2020-03-24,78
2020-03-25,56
2020-03-26,70
2020-03-27,68
2020-03-28,100
2020-03-29,71
2020-03-30,99
2020-03-31,67
2020-04-01,80
2020-04-02,73
2020-04-03,75
2020-04-04,88
2020-04-05,77
2020-04-06,76
2020-04-07,73
