Categoría: Cientología

Día,Geo: Austria
2019-12-30,63
2019-12-31,66
2020-01-01,41
2020-01-02,46
2020-01-03,77
2020-01-04,73
2020-01-05,82
2020-01-06,89
2020-01-07,76
2020-01-08,43
2020-01-09,41
2020-01-10,32
2020-01-11,53
2020-01-12,81
2020-01-13,38
2020-01-14,39
2020-01-15,55
2020-01-16,51
2020-01-17,58
2020-01-18,69
2020-01-19,70
2020-01-20,67
2020-01-21,60
2020-01-22,62
2020-01-23,41
2020-01-24,71
2020-01-25,74
2020-01-26,70
2020-01-27,57
2020-01-28,52
2020-01-29,55
2020-01-30,63
2020-01-31,71
2020-02-01,59
2020-02-02,51
2020-02-03,41
2020-02-04,47
2020-02-05,53
2020-02-06,58
2020-02-07,52
2020-02-08,58
2020-02-09,48
2020-02-10,47
2020-02-11,40
2020-02-12,52
2020-02-13,57
2020-02-14,46
2020-02-15,53
2020-02-16,60
2020-02-17,60
2020-02-18,49
2020-02-19,32
2020-02-20,70
2020-02-21,45
2020-02-22,54
2020-02-23,93
2020-02-24,58
2020-02-25,64
2020-02-26,47
2020-02-27,47
2020-02-28,58
2020-02-29,47
2020-03-01,66
2020-03-02,58
2020-03-03,37
2020-03-04,46
2020-03-05,44
2020-03-06,60
2020-03-07,49
2020-03-08,42
2020-03-09,47
2020-03-10,49
2020-03-11,33
2020-03-12,39
2020-03-13,40
2020-03-14,44
2020-03-15,35
2020-03-16,39
2020-03-17,53
2020-03-18,43
2020-03-19,50
2020-03-20,63
2020-03-21,87
2020-03-22,84
2020-03-23,72
2020-03-24,53
2020-03-25,47
2020-03-26,68
2020-03-27,66
2020-03-28,73
2020-03-29,57
2020-03-30,48
2020-03-31,69
2020-04-01,69
2020-04-02,53
2020-04-03,64
2020-04-04,91
2020-04-05,100
2020-04-06,57
2020-04-07,66
