Categoría: Cientología

Día,Geo: Reino Unido
2019-12-30,84
2019-12-31,68
2020-01-01,83
2020-01-02,76
2020-01-03,75
2020-01-04,92
2020-01-05,84
2020-01-06,71
2020-01-07,73
2020-01-08,81
2020-01-09,71
2020-01-10,75
2020-01-11,86
2020-01-12,100
2020-01-13,76
2020-01-14,69
2020-01-15,63
2020-01-16,76
2020-01-17,76
2020-01-18,90
2020-01-19,90
2020-01-20,66
2020-01-21,75
2020-01-22,77
2020-01-23,76
2020-01-24,87
2020-01-25,89
2020-01-26,92
2020-01-27,76
2020-01-28,71
2020-01-29,74
2020-01-30,59
2020-01-31,68
2020-02-01,74
2020-02-02,92
2020-02-03,71
2020-02-04,65
2020-02-05,68
2020-02-06,69
2020-02-07,71
2020-02-08,73
2020-02-09,83
2020-02-10,67
2020-02-11,67
2020-02-12,67
2020-02-13,69
2020-02-14,58
2020-02-15,79
2020-02-16,78
2020-02-17,71
2020-02-18,69
2020-02-19,67
2020-02-20,67
2020-02-21,68
2020-02-22,76
2020-02-23,67
2020-02-24,71
2020-02-25,66
2020-02-26,61
2020-02-27,63
2020-02-28,66
2020-02-29,73
2020-03-01,88
2020-03-02,77
2020-03-03,63
2020-03-04,67
2020-03-05,67
2020-03-06,59
2020-03-07,62
2020-03-08,67
2020-03-09,64
2020-03-10,63
2020-03-11,56
2020-03-12,49
2020-03-13,53
2020-03-14,52
2020-03-15,61
2020-03-16,43
2020-03-17,47
2020-03-18,47
2020-03-19,49
2020-03-20,44
2020-03-21,57
2020-03-22,44
2020-03-23,44
2020-03-24,40
2020-03-25,41
2020-03-26,41
2020-03-27,41
2020-03-28,40
2020-03-29,43
2020-03-30,41
2020-03-31,45
2020-04-01,49
2020-04-02,49
2020-04-03,49
2020-04-04,42
2020-04-05,51
2020-04-06,46
2020-04-07,40
